Smiles;IC50 (nM);pIC50 (M);pIC50
CC1COc2cc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)ccc2N1C(=O)Nc1ccccc1;630;0.00000063;6.200659451
COc1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@@H](C(=O)O)CC5)nc4)nc3)nc2n1;13;0.000000013;7.886056648
O=C(O)[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(F)c(F)cc5[nH]4)cn3)cn2)CC1;3.4;3.4E-09;8.468521083
O=C(O)[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5ccccc5[nH]4)cn3)cn2)CC1;8.1;8.1E-09;8.091514981
CCCCCCCNC(=O)N1CCOc2cc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)ccc21;27;0.000000027;7.568636236
CC(C)c1ccccc1NC(=O)N1CCOc2cc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)ccc21;69;0.000000069;7.161150909
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(n3)OCCN4C(=O)Nc3ccccc3)cc2)CC1;550;0.00000055;6.259637311
O=C(NCCNC(=O)c1ccc2ccccc2c1)c1ccc(O[C@H]2C3CC4CC2C[C@@](C(=O)O)(C4)C3)cc1;19;0.000000019;7.721246399
O=C(O)[C@@H]1[C@H]2C[C@@H](OC3CCN(c4ccc(-c5nc6cc(C(F)(F)F)ccc6[nH]5)cn4)CC3)C[C@H]21;4.3;4.3E-09;8.366531544
N#Cc1ccc2[nH]c(-c3ccc(N4CCC(O[C@H]5CC[C@H](CC(=O)O)CC5)CC4)nc3)nc2c1;528;0.000000528;6.277366077
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(cnn4C(=O)Nc4ccccc4)c3)cc2)CC1;2668;0.000002668;5.573814175
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4cc(C(=O)Nc5ccccc5)[nH]c4c3)cc2)CC1;1090;0.00000109;5.962573502
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)C(=O)CCN4C(=O)Nc3ccccc3)cc2)CC1;1666;0.000001666;5.778325003
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)NCCN4C(=O)Nc3ccccc3)cc2)CC1;4824;0.000004824;5.316592701
Cc1cc(C(=O)Nc2ccccc2)c2ccc(-c3ccc(OCC(C)(C)C(=O)O)[n+]([O-])c3)cc2n1;23;0.000000023;7.638272164
Cc1ccc(NC(=O)c2ccc3nc(-c4c(C)cc(NCC(=O)O)cc4C)[nH]c3c2)cc1C;2000;0.000002;5.698970004
CC1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)cc2O1;33;0.000000033;7.48148606
CCC1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)cc2O1;45;0.000000045;7.346787486
CCc1ccccc1NC(=O)N1C[C@H](C)Oc2cc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)ccc21;53;0.000000053;7.27572413
O=C(O)[C@@H]1CCC[C@H]1C(=O)c1ccc(-c2ccc3c(c2)OCCN3C(=O)Nc2ccccc2)cc1;830;0.00000083;6.080921908
O=C(O)CC1CCC(c2ccc(-c3nc4cc(NC(=O)c5nc(-c6ccccc6Cl)oc5C(F)(F)F)ccc4[nH]3)cc2)CC1;277;0.000000277;6.557520231
O=C(O)CC1CCC(c2ccc(-c3nc4cc(NC(=O)c5nc(-c6ccccc6C(F)(F)F)oc5C(F)(F)F)ccc4[nH]3)cc2)CC1;201;0.000000201;6.696803943
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Nc3ccccc3)cc2)CC1;40;0.00000004;7.397940009
O=C(C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)Nc3ccccc3)cc2)CC1)NO;920;0.00000092;6.036212173
O=C(O)C1(CNc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CC1;20;0.00000002;7.698970004
CC(C)(COc1ccc(-c2ccc(-c3nc4cc(Cl)ccc4[nH]3)cn2)cn1)C(=O)O;1.4;1.4E-09;8.853871964
O=C(O)C[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(C(F)(F)F)cnc5[nH]4)cn3)cn2)CC1;9.5;9.5E-09;8.022276395
O=C(O)C[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)CC2)CC1;4.6;4.6E-09;8.337242168
O=C(O)C[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5c(F)cccc5[nH]4)cn3)CC2)CC1;21.4;2.14E-08;7.669586227
O=C(O)C[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5ccccc5[nH]4)cn3)CC2)CC1;42.1;4.21E-08;7.375717904
O=C(O)C[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5cc(C(F)(F)F)cnc5[nH]4)cn3)CC2)CC1;125;0.000000125;6.903089987
CCOc1ccc(NC(=O)N2CCOc3cc(-c4ccc([C@H]5CC[C@H](CC(=O)O)CC5)cc4)ccc32)cc1;34;0.000000034;7.468521083
O=C(Nc1ccc(N2CCN(c3ncccc3Cl)CC2)nc1)c1oc(N2CCCCC2)nc1C(F)(F)F;2269;0.000002269;5.644165504
O=C(Nc1ccc(N2CCCN(C(=O)Nc3ccccc3Cl)CC2)nc1)c1oc(N2CCCCC2)nc1C(F)(F)F;134;0.000000134;6.872895202
O=C(O)CC1CCC(c2ccc(-c3ccc4nc(C(=O)NCc5ccc(Oc6ccc(F)cc6)cc5)cn4c3)cc2)CC1;5.3;5.3E-09;8.27572413
O=C(O)CC1CCC(c2ccc(-c3ccc4nc(C(=O)NCc5ccc6c(c5)OCCCO6)cn4c3)cc2)CC1;9.9;9.9E-09;8.004364805
O=C(O)[C@H]1CC[C@H](Oc2ccc(-c3ccc(-c4nc5cc(F)c(F)cc5[nH]4)cn3)cn2)CC1;4.3;4.3E-09;8.366531544
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4oc(Nc5ccccc5)nc4c3)cc2)CC1;3845;0.000003845;5.415103656
CC(C)c1cccc(NC(=O)c2ccnc3cc(-c4ccc([C@H]5CC[C@H](CC(=O)O)CC5)cc4)ccc23)c1;23;0.000000023;7.638272164
Cc1cc(C(=O)Nc2ccccc2)c2ccc(-c3ccc(OCC(C)(C)C(=O)O)nc3)cc2n1;69;0.000000069;7.161150909
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc4c(c3)OCCN4C(=O)NCCCCc3ccccc3)cc2)CC1;36;0.000000036;7.443697499
CCc1ccccc1NC(=O)N1C[C@@H](C)Oc2cc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)ccc21;44;0.000000044;7.356547324
CCc1ccccc1NC(=O)N1CC(C)Oc2cc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)ccc21;50;0.00000005;7.301029996
CCC1CN(C(=O)Nc2ccccc2)c2ccc(-c3ccc(OCC4(C(=O)O)CCC4)nc3)cc2O1;110;0.00000011;6.958607315
COc1cc(N2CCOc3ncnc(N)c3C2=O)ccc1C#CC(C)(C)CC(=O)O;728;0.000000728;6.137868621
CCc1cc(N2CCOc3ncnc(N)c3C2=O)ccc1C#CC(C)(C)CC(=O)O;682;0.000000682;6.166215625
Cc1cc(N2CCOc3ncnc(N)c3C2=O)ccc1C#CC(C)(C)CC(=O)O;52;0.000000052;7.283996656
CC(C)(C#Cc1c(Cl)cc(N2CCOc3ncnc(N)c3C2=O)cc1Cl)CC(=O)O;10;0.00000001;8
Cc1cc(N2CCOc3ncnc(N)c3C2=O)cc(C)c1C#CC(C)(C)CC(=O)O;12;0.000000012;7.920818754
Cc1cc(C#CC(C)(C)CC(=O)O)ccc1N1CCOc2ncnc(N)c2C1=O;3762;0.000003762;5.424581209
O=C(O)[C@H]1CC[C@@H](OC2CCN(c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)CC2)CC1;8;0.000000008;8.096910013
O=C(O)[C@H]1[C@H]2C[C@H](OC3CCN(c4ccc(-c5nc6cc(C(F)(F)F)ccc6[nH]5)cn4)CC3)C[C@H]21;48;0.000000048;7.318758763
O=C(O)[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)CC2)CC1;23;0.000000023;7.638272164
O=C(O)[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)CC2)CC1;29;0.000000029;7.537602002
