Smiles;IC50 (nM);pIC50 (M);pIC50
O=C(O)C1CC1COc1ccc(-c2ccc(-c3nc4cc(Cl)ccc4[nH]3)cn2)cn1;30;0.00000003;7.522878745
Cc1cc(CCC(=O)O)cc(C)c1-c1nc2ccc(C(=O)Nc3ccc4ccccc4n3)cc2[nH]1;913;0.000000913;6.039529222
O=C(O)C[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)CC2)CC1;22;0.000000022;7.657577319
O=C(O)C[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5cc(F)c(F)cc5[nH]4)cn3)CC2)CC1;46;0.000000046;7.337242168
Cc1cc(N2CCOc3ncnc(N)c3C2=O)cc(F)c1C#CC(C)(C)CC(=O)O;11;0.000000011;7.958607315
O=C(O)C[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5c(F)cc(F)cc5[nH]4)cn3)cn2)CC1;2.3;2.3E-09;8.638272164
O=C(O)C[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5cc(Cl)cnc5[nH]4)cn3)CC2)CC1;271;0.000000271;6.567030709
O=C(O)[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CC1;2.8;2.8E-09;8.552841969
Cc1cc(CC(C)(C)C(=O)O)cc(C)c1-c1nc2ccc(C(=O)Nc3ccc4ccccc4n3)cc2[nH]1;954;0.000000954;6.020451625
COc1ccc(-c2nnc(-c3ccc4nc(-c5c(C)cc(CC(C)(C)C(=O)O)cc5C)[nH]c4c3)o2)cc1;151;0.000000151;6.821023053
CC(C)(C#Cc1ccc(N2CCOc3ncnc(N)c3C2=O)cc1)CC(=O)O;282;0.000000282;6.549750892
CC(C)(C#Cc1ccc(N2CCOc3ncnc(N)c3C2=O)cc1OC(F)(F)F)CC(=O)O;92;0.000000092;7.036212173
Cc1cc(N2CCOc3ncnc(N)c3C2=O)cc(Cl)c1C#CC(C)(C)CC(=O)O;14;0.000000014;7.853871964
CCc1cc(N2CCOc3ncnc(N)c3C2=O)cc(CC)c1C#CC(C)(C)CC(=O)O;12;0.000000012;7.920818754
COc1cc(N2CCOc3ncnc(N)c3C2=O)cc(C)c1C#CC(C)(C)CC(=O)O;96;0.000000096;7.017728767
CC1(C(=O)O)CCN(c2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CC1;20;0.00000002;7.698970004
O=C(O)C1CCCCC1Nc1ccc(-c2ccc(-c3nc4cc(Cl)ccc4[nH]3)cn2)cn1;21;0.000000021;7.677780705
O=C(O)C[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(F)c(F)cc5[nH]4)cn3)cn2)CC1;2.6;2.6E-09;8.585026652
Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)nc1C(N)=O;100;0.0000001;7
O=C(O)CC1CCN(c2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CC1;108;0.000000108;6.966576245
O=C(O)[C@@H]1CCC[C@H]1C(=O)c1ccc(-c2ccc(Nc3nc4ccc(OC(F)(F)F)cc4s3)c(F)c2)cc1;207;0.000000207;6.684029655
COc1ccc(NC(=O)Nc2ccc(-c3ccc(C(=O)[C@@H]4CCC[C@H]4C(=O)O)cc3)cc2F)cc1;28;0.000000028;7.552841969
O=C(O)CC1CCC(c2ccc(-c3nc4cc(NC(=O)c5nc(-c6ccccc6)oc5C(F)(F)F)ccc4[nH]3)cc2)CC1;568;0.000000568;6.245651664
COc1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@H](C(=O)O)CC5)nc4)nc3)nc2n1;16;0.000000016;7.795880017
Cc1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@H](C(=O)O)CC5)nc4)nc3)nc2n1;161;0.000000161;6.793174124
N#Cc1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@@H](C(=O)O)CC5)nc4)nc3)nc2c1;36;0.000000036;7.443697499
O=C(O)[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(F)ccc5[nH]4)cn3)cn2)CC1;3.4;3.4E-09;8.468521083
O=C(O)[C@H]1CC[C@H](Oc2ccc(-c3ccc(-c4nc5ccccc5[nH]4)cn3)cn2)CC1;12;0.000000012;7.920818754
O=C(O)[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cn2)CC1;3.7;3.7E-09;8.431798276
O=C(O)[C@H]1CC[C@@H](Oc2ccc(-c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)cn2)CC1;2.2;2.2E-09;8.657577319
CCOc1ccc(C(=O)NCCNC(=O)c2cn(-c3ccccn3)nc2C(F)(F)F)cc1;91;0.000000091;7.040958608
O=C(NCCNC(=O)c1cn(-c2ccccc2)nc1C(F)(F)F)c1ccc(Cl)nc1;370;0.00000037;6.431798276
CCOc1ccc(C(=O)NCCNC(=O)c2cn(-c3ccc(OCC)cc3)nc2C(F)(F)F)cc1;380;0.00000038;6.420216403
CCOc1ccc(C(=O)NCCNC(=O)c2cn(-c3ccccc3)nc2C(F)(F)F)cc1;77;0.000000077;7.113509275
CCOc1ccc(C(=O)NCCNC(=O)c2nn(-c3ccccc3)cc2C)cc1;1200;0.0000012;5.920818754
O=C(Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1)Nc1cccc(Cl)c1;19;0.000000019;7.721246399
CC(C)(COc1ccc(-c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)cc1)C(=O)O;102;0.000000102;6.991399828
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1-c1ccc(OCC(C)(C)C(=O)O)nn1;709;0.000000709;6.149353765
CCOc1ccc(C(=O)NCCNC(=O)c2cn(-c3ccccc3O)nc2C(F)(F)F)cc1;610;0.00000061;6.214670165
CCOc1ccc(C(=O)NCCNC(=O)c2cn(Cc3ccccc3)nc2C(F)(F)F)cc1;770;0.00000077;6.113509275
O=C(NCCNC(=O)c1cn(-c2ccccc2)nc1C(F)(F)F)c1ccc(Cl)cn1;1200;0.0000012;5.920818754
Cn1c(OCC(C)(C)C(=O)Nc2ccccc2)nnc1-c1ccc(NC(=O)c2ccc3ccccc3c2)cc1;220;0.00000022;6.657577319
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1-c1cnc(OCC(C)(C)C(=O)O)nc1;433;0.000000433;6.363512104
CCOc1ccc(C(=O)NCCNC(=O)c2cn(C3CCCCC3)nc2C(F)(F)F)cc1;650;0.00000065;6.187086643
CCOc1ccc(C(=O)NCCNC(=O)c2cn(-c3ccccc3)nc2C(F)(F)F)cn1;87;0.000000087;7.060480747
O=C(Nc1ccccc1)Nc1ccc(-c2ccc(C(=O)[C@@H]3CCC[C@H]3C(=O)O)cc2)cc1;24;0.000000024;7.619788758
CCOc1ccc(C(=O)NCCNC(=O)c2cn(-c3cccnc3)nc2C(F)(F)F)cc1;3400;0.0000034;5.468521083
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1-c1ccc(OCC(C)(C)C(=O)O)nc1;125;0.000000125;6.903089987
CC(C)(COc1ccc(-c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)cn1)C(=O)O;37;0.000000037;7.431798276
